phone,carrier
+1 904 121 5123,Unknown / Other Carrier
+1 979 115 0364,AT&T
+1 602 161 5575,Unknown / Other Carrier
+1 445 488 0838,Unknown / Other Carrier
+1 404 261 1375,Unknown / Other Carrier
+1 310 291 1284,T-Mobile
+1 701 310 6065,Unknown / Other Carrier
+1 318 340 3308,Unknown / Other Carrier
+1 667 945 8050,Unknown / Other Carrier
+1 832 272 3589,AT&T
+1 508 973 5826,Unknown / Other Carrier
+1 303 475 4770,Unknown / Other Carrier
+1 667 211 0667,Unknown / Other Carrier
+1 573 791 5328,Unknown / Other Carrier
+1 413 013 8925,Unknown / Other Carrier
+1 317 478 9686,Unknown / Other Carrier
+1 763 142 2614,Unknown / Other Carrier
+1 972 373 0037,AT&T
+1 227 771 7112,Unknown / Other Carrier
+1 227 731 5112,Unknown / Other Carrier
+1 415 727 9313,Unknown / Other Carrier
+1 661 819 4563,T-Mobile
+1 661 971 1387,T-Mobile
+1 279 687 9577,Unknown / Other Carrier
+1 206 150 1465,T-Mobile
+1 201 111 3220,Verizon
+1 985 940 3337,Unknown / Other Carrier
+1 586 666 2947,Unknown / Other Carrier
+1 971 595 2831,Unknown / Other Carrier
+1 718 786 5506,Unknown / Other Carrier
+1 219 206 2513,Unknown / Other Carrier
+1 779 381 5900,Unknown / Other Carrier
+1 458 124 9999,Unknown / Other Carrier
+1 773 102 1353,Unknown / Other Carrier
+1 573 134 3829,Unknown / Other Carrier
+1 323 134 6138,T-Mobile
+1 274 140 7462,Unknown / Other Carrier
+1 274 139 7945,Unknown / Other Carrier
+1 274 139 0229,Unknown / Other Carrier
+1 215 208 3035,Verizon
+1 971 178 8347,Unknown / Other Carrier
+1 458 186 9057,Unknown / Other Carrier
+1 327 796 1213,Unknown / Other Carrier
+1 847 389 5582,Unknown / Other Carrier
+1 281 669 8520,AT&T
